iter	Passed	Remaining
403	10567	2511
404	10582	2482
405	10599	2454
406	10609	2424
407	10633	2397
408	10642	2367
409	10654	2338
410	10670	2310
411	10686	2282
412	10702	2254
413	10763	2235
414	10779	2207
415	10799	2180
416	10823	2154
417	10885	2135
418	10950	2116
419	10968	2089
420	11019	2067
421	11045	2041
422	11062	2013
423	11083	1986
424	11109	1960
425	11130	1933
426	11164	1908
427	11192	1882
428	11255	1862
429	11279	1836
430	11416	1827
431	11480	1807
432	11525	1783
433	11624	1767
434	11659	1742
435	11707	1718
436	11736	1691
437	11752	1663
438	11776	1636
439	11806	1609
440	11857	1586
441	11901	1561
442	11942	1536
443	11990	1512
444	12062	1490
445	12102	1465
446	12165	1442
447	12217	1418
448	12297	1396
449	12372	1374
450	12392	1346
451	12456	1322
452	12474	1294
453	12494	1265
454	12515	1237
455	12532	1209
456	12548	1180
457	12569	1152
458	12587	1124
459	12714	1105
460	12810	1083
461	12838	1055
462	12855	1027
463	12875	998
464	12885	969
465	12898	941
466	12937	914
467	13003	889
468	13069	863
469	13083	835
470	13104	806
471	13116	778
472	13153	750
473	13212	724
474	13224	696
475	13244	667
476	13275	640
477	13310	612
478	13328	584
479	13354	556
480	13367	528
481	13384	499
482	13397	471
483	13410	443
484	13425	415
485	13438	387
486	13454	359
487	13466	331
488	13477	303
489	13490	275
490	13503	247
491	13517	219
492	13528	192
493	13546	164
494	13557	136
495	13570	109
496	13580	81
497	13597	54
498	13614	27
499	13663	0
